Grouping Function,Evaluation Function,Starting Distance,Convergence Speed (rounds),Convergence Accuracy (final distance),Pearson Correlation,Inverted Pearson
epsilon_greedy,dot_product,9.141461333848264,11.222222222222221,4.839231013190449,0.5395322310957118,1.9050702622653128
epsilon_greedy,l1_norm,9.233669948786606,10.2,4.118250252901565,0.48432861214376466,2.1853129836631466
epsilon_greedy,l2_norm,9.297707253003704,11.766666666666667,4.756570449163785,0.533293656200696,1.9485526294298772
interleaved,dot_product,9.674196065547338,11.125,5.263295995887083,0.8346138021943332,1.2019477418748772
interleaved,l1_norm,9.217783202615255,11.53125,4.880586458351968,0.7225594084438883,1.4705696199372256
interleaved,l2_norm,9.50906189950179,10.787878787878787,4.888513467626518,0.7767428083134448,1.4105528524079154
random,dot_product,9.23162701694367,11.161290322580646,5.153157454507834,0.8028138892160902,1.2537733508301268
random,l1_norm,9.645454316870318,15.571428571428571,4.740296474667202,0.7410935741619693,1.3668111165208683
random,l2_norm,9.100213723988055,9.735294117647058,4.846275081195747,0.7376703193591685,1.3896730160354847
