Grouping Function,Evaluation Function,Starting Distance,Convergence Speed (rounds),Convergence Accuracy (final distance),Pearson Correlation
epsilon_greedy,dot_product,9.837131570185495,19.71875,5.042122419647701,0.38321100991851503
epsilon_greedy,l1_norm,9.090212883799603,14.883720930232558,4.200078464900454,0.2937257396504317
epsilon_greedy,l2_norm,9.497051293556973,13.580645161290322,4.593216623046354,0.3759395068068717
interleaved,dot_product,9.489169328786872,9.571428571428571,5.069869197437479,0.6772507206422849
interleaved,l1_norm,9.60700815512669,16.529411764705884,4.498061831363073,0.5802154435111366
interleaved,l2_norm,9.049805873840551,11.515151515151516,4.602586148858412,0.640512448217212
random,dot_product,9.256398652198358,11.586206896551724,5.057882818813861,0.6316344891665371
random,l1_norm,9.559753360143553,19.096774193548388,4.4844147414154385,0.5658595037533676
random,l2_norm,9.196603776325631,12.588235294117647,4.661563351221871,0.6287722189058439
