Grouping Function,Evaluation Function,Starting Distance,Convergence Speed (rounds),Convergence Accuracy (final distance),Pearson Correlation,Inverted Pearson
epsilon_greedy,dot_product,9.09441846678265,8.833333333333334,5.210465358351421,0.6966558407218179,1.4536102403453384
epsilon_greedy,l1_norm,9.817749584743245,10.0,4.7096458342140615,0.6423482457610268,1.5943072837061008
epsilon_greedy,l2_norm,9.658664416546396,10.125,4.292580918906503,0.6588338777916946,1.5909126395923072
interleaved,dot_product,9.2310030085239,11.483870967741936,5.17454237025052,0.843151767608677,1.1895634336237033
interleaved,l1_norm,9.467927790178864,10.473684210526315,4.532825482538151,0.7575714765743221,1.3726207812372706
interleaved,l2_norm,9.219665679883779,8.147058823529411,4.451135927411354,0.7818242536666591,1.349313347236884
random,dot_product,9.12020494900293,9.647058823529411,4.9408707932335405,0.8587569118101149,1.1662188431468743
random,l1_norm,9.515982341000761,10.5,4.563691247170255,0.7999916965066691,1.2611805537260001
random,l2_norm,9.5698191485696,9.580645161290322,4.62846091694963,0.8293277537963433,1.208938727943694
