Grouping Function,Evaluation Function,Starting Distance,Convergence Speed (rounds),Convergence Accuracy (final distance),Pearson Correlation,Inverted Pearson
epsilon_greedy,dot_product,9.88778051386766,12.137931034482758,4.940767688193933,0.31113061391676466,3.63297907682814
epsilon_greedy,l1_norm,9.632783846790643,13.5,4.341658241665151,0.2958719129570594,3.934371087194934
epsilon_greedy,l2_norm,9.744228087597193,22.1,4.099310006589519,0.31540123505768747,3.734551347296454
interleaved,dot_product,9.793652308248046,15.703703703703704,5.245754517745589,0.44759028693618874,2.289631956165515
interleaved,l1_norm,9.163559728413242,13.882352941176471,4.664812298280877,0.40874341089894195,2.829069552063282
interleaved,l2_norm,9.750250647397733,14.714285714285714,4.907188013149028,0.46207406280532515,1.577945346559139
random,dot_product,9.663575717329854,9.482758620689655,5.240319125332936,0.45466496858812294,2.254067444036613
random,l1_norm,9.925600290051063,13.925925925925926,4.907065592864654,0.4171682979596341,3.0904706420457053
random,l2_norm,9.670217536138509,17.20689655172414,4.536258302195974,0.4653466168376434,2.2847815308572397
