Grouping Function,Evaluation Function,Starting Distance,Convergence Speed (rounds),Convergence Accuracy (final distance),Pearson Correlation
epsilon_greedy,dot_product,9.289432915357763,11.911764705882353,4.755802419356317,0.1998123961197436
epsilon_greedy,l1_norm,9.697740443443335,17.275862068965516,4.6468794517378775,0.167049757386474
epsilon_greedy,l2_norm,9.583775962689323,14.833333333333334,4.268588663190754,0.21467335756787242
interleaved,dot_product,9.77026356104495,15.25925925925926,5.3133974975928835,0.3908709337754792
interleaved,l1_norm,10.135358207247553,15.666666666666666,5.129251006301651,0.39409903423203735
interleaved,l2_norm,9.305791175321618,8.8,4.960399480278133,0.40163223672390047
random,dot_product,9.49579484332695,10.466666666666667,4.831446496319091,0.38544354479920573
random,l1_norm,9.509267145101587,16.444444444444443,4.9942880513160075,0.38365880605243435
random,l2_norm,9.736928086513249,13.4,4.947955699098104,0.41635385952722465
