Grouping Function,Evaluation Function,Starting Distance,Convergence Speed (rounds),Convergence Accuracy (final distance),Pearson Correlation,Inverted Pearson
epsilon_greedy,dot_product,9.413183660017001,10.757575757575758,5.093444612327931,0.6123909441988684,1.6823550712770137
epsilon_greedy,l1_norm,9.433241727961589,15.6,4.126428818351206,0.6217000827139364,1.676032706185874
epsilon_greedy,l2_norm,9.563096888537455,18.473684210526315,4.407343991557317,0.6606774689698517,1.547739667880454
interleaved,dot_product,9.487662710123804,10.969696969696969,5.242464534029912,0.7236596288026714,1.4390001623742918
interleaved,l1_norm,9.255367005105965,13.948717948717949,4.393099094867384,0.7742021906201173,1.3239841744288432
interleaved,l2_norm,9.385171824309348,17.65,4.245825805412363,0.822848409680777,1.2252139038353886
random,dot_product,9.446835690652629,9.7,6.089956657601707,0.7446304979396123,1.3772205815798733
random,l1_norm,9.100173377644634,13.30232558139535,3.9398718393141574,0.7864512110693721,1.285110790055779
random,l2_norm,9.35750445916693,21.4390243902439,3.9022406042654953,0.8440332979812162,1.1879871871583918
