,user,shapley,points
0,0,0.014501588904814261,5104.0
1,1,-0.01676991085430052,3931.0
2,2,0.07245154533277987,6437.0
3,3,-0.011168123755418714,4381.0
4,4,-0.011393264532851397,4988.0
5,5,-0.033219704740954994,4397.0
6,6,0.11177564836889675,7880.0
7,7,0.03654631881912208,5930.0
8,8,-0.0875997898730115,2979.0
9,9,-0.022062206150232796,3973.0
