Grouping Function,Evaluation Function,num_users,num_groups,Pearson Correlation,Convergence Accuracy (final distance)
epsilon_greedy,dot_product,10,2,0.6979957717338209,5.81908684214722
epsilon_greedy,dot_product,10,3,0.8105422790900638,5.710852774536906
epsilon_greedy,dot_product,10,4,0.8556909523723084,5.437296847604935
epsilon_greedy,dot_product,10,5,0.8921460103934264,6.51540583257205
epsilon_greedy,dot_product,25,2,0.5395322310957118,4.839231013190449
epsilon_greedy,dot_product,25,3,0.6966558407218179,5.210465358351421
epsilon_greedy,dot_product,25,4,0.7715443878516903,5.470527768592864
epsilon_greedy,dot_product,25,5,0.8184935127847119,5.023372408806284
epsilon_greedy,dot_product,50,2,0.3431417154916145,4.902289146217835
epsilon_greedy,dot_product,50,3,0.5143321771541353,4.811302503077248
epsilon_greedy,dot_product,50,4,0.5854096711991545,5.008013390415339
epsilon_greedy,dot_product,50,5,0.6135207724603473,5.089683556371941
epsilon_greedy,dot_product,75,2,0.23929721473715396,5.0086711439844755
epsilon_greedy,dot_product,75,3,0.3695876636230429,5.33071692041273
epsilon_greedy,dot_product,75,4,0.4299563928775361,4.980672268232986
epsilon_greedy,dot_product,75,5,0.4687168129372576,5.335693589810647
epsilon_greedy,dot_product,100,2,0.14769930129095366,5.299349068399015
epsilon_greedy,dot_product,100,3,0.28241528525051574,4.910343270268335
epsilon_greedy,dot_product,100,4,0.3290679867302328,5.12137066934955
epsilon_greedy,dot_product,100,5,0.358148754480446,5.273313753951197
epsilon_greedy,l1_norm,10,2,0.7390022777657232,4.864350390484961
epsilon_greedy,l1_norm,10,3,0.7917300020519419,4.028036080424169
epsilon_greedy,l1_norm,10,4,0.8172035621141012,3.912378606950727
epsilon_greedy,l1_norm,10,5,0.8465861464123734,4.108397276462828
epsilon_greedy,l1_norm,25,2,0.48432861214376466,4.118250252901565
epsilon_greedy,l1_norm,25,3,0.6423482457610268,4.7096458342140615
epsilon_greedy,l1_norm,25,4,0.7177396819264003,3.974903097455298
epsilon_greedy,l1_norm,25,5,0.7487215406764101,3.6442140420248417
epsilon_greedy,l1_norm,50,2,0.33658884980851694,4.683464243163048
epsilon_greedy,l1_norm,50,3,0.3973964525416625,4.450929976021351
epsilon_greedy,l1_norm,50,4,0.471365642137835,3.7067145556122285
epsilon_greedy,l1_norm,50,5,0.5399065881453499,3.680295786061042
epsilon_greedy,l1_norm,75,2,0.23406372914113477,5.216557939737218
epsilon_greedy,l1_norm,75,3,0.34870043834088466,4.537156098953778
epsilon_greedy,l1_norm,75,4,0.35618623481429723,3.996814482074557
epsilon_greedy,l1_norm,75,5,0.4155280878989443,3.9209018097652635
epsilon_greedy,l1_norm,100,2,0.16575631633213703,5.2212673383281265
epsilon_greedy,l1_norm,100,3,0.23401742447099116,4.579920147651695
epsilon_greedy,l1_norm,100,4,0.27813929942203375,4.361563732511438
epsilon_greedy,l1_norm,100,5,0.34790771741145754,4.3287915899692315
epsilon_greedy,l2_norm,10,2,0.7395220917653331,4.419587378046693
epsilon_greedy,l2_norm,10,3,0.8061856685924559,4.2872546655515
epsilon_greedy,l2_norm,10,4,0.8260335116172393,3.886445937739863
epsilon_greedy,l2_norm,10,5,0.8490253746081887,4.025331719092976
epsilon_greedy,l2_norm,25,2,0.533293656200696,4.756570449163785
epsilon_greedy,l2_norm,25,3,0.6588338777916946,4.292580918906503
epsilon_greedy,l2_norm,25,4,0.7380036644901083,3.2989167225232854
epsilon_greedy,l2_norm,25,5,0.7858195500335466,3.349472782969643
epsilon_greedy,l2_norm,50,2,0.3332437825080589,4.2970666581179255
epsilon_greedy,l2_norm,50,3,0.44849969895987407,4.07850290718242
epsilon_greedy,l2_norm,50,4,0.52210911184852,3.7891675434535355
epsilon_greedy,l2_norm,50,5,0.5889021995218121,3.5233539890166328
epsilon_greedy,l2_norm,75,2,0.24616825181642008,4.748713697865356
epsilon_greedy,l2_norm,75,3,0.34871557647464124,4.12242919819681
epsilon_greedy,l2_norm,75,4,0.41190368284583095,4.076670392966273
epsilon_greedy,l2_norm,75,5,0.4616821710327942,3.591989111757526
epsilon_greedy,l2_norm,100,2,0.16547913705649667,4.976236796408148
epsilon_greedy,l2_norm,100,3,0.2671024449727768,4.3694749708043785
epsilon_greedy,l2_norm,100,4,0.3179339690713357,4.167999015991895
