Grouping Function,Evaluation Function,Starting Distance,Convergence Speed (rounds),Convergence Accuracy (final distance),Pearson Correlation,Inverted Pearson
epsilon_greedy,dot_product,9.182623925654015,9.63888888888889,5.008013390415339,0.5854096711991545,1.73668993622908
epsilon_greedy,l1_norm,9.046352945646879,9.447368421052632,3.7067145556122285,0.471365642137835,3.8991659237425234
epsilon_greedy,l2_norm,9.384777840560789,14.975,3.7891675434535355,0.52210911184852,1.9868367174053274
interleaved,dot_product,9.420083803266458,9.78125,4.876485620036536,0.7086793007982518,1.4192463202332066
interleaved,l1_norm,9.41064453087227,9.91891891891892,4.442778584688395,0.5990822946058287,1.7664767739640554
interleaved,l2_norm,9.189378656541725,9.972972972972974,4.115418354342052,0.657028046890033,1.5730972782830859
random,dot_product,9.663147878333646,11.5,5.24025742384503,0.7077422502422449,1.4229381506715262
random,l1_norm,9.005658175923864,10.487804878048781,4.104587424416449,0.6128158986048775,1.6974588642669888
random,l2_norm,9.735699847572231,12.735294117647058,4.2933053646999095,0.672751720402104,1.5045093551152973
