Grouping Function,Evaluation Function,Starting Distance,Convergence Speed (rounds),Convergence Accuracy (final distance),Pearson Correlation,Inverted Pearson
epsilon_greedy,dot_product,9.175011740395018,8.878787878787879,5.089683556371941,0.6135207724603473,1.6549612646744953
epsilon_greedy,l1_norm,9.549548425454132,10.615384615384615,3.680295786061042,0.5399065881453499,2.0249064609472076
epsilon_greedy,l2_norm,9.488953722053248,18.045454545454547,3.5233539890166328,0.5889021995218121,1.7499189041229366
interleaved,dot_product,8.837339124130143,8.848484848484848,5.327898748345162,0.6958252160872733,1.4509695755441028
interleaved,l1_norm,9.62545332985179,11.418604651162791,3.7799742522688127,0.6295770994948098,1.6216932027141582
interleaved,l2_norm,9.05305762884779,10.5,4.038451418483505,0.707247405688067,1.4433527733208902
random,dot_product,9.518176968088959,9.172413793103448,5.395734285205439,0.7240469827798028,1.3922502347197878
random,l1_norm,9.529670813195251,12.75,4.324835514692043,0.6376471146688485,1.690222060566744
random,l2_norm,9.496923039385013,12.0,3.7025820518872354,0.6916712125626197,1.471823295896019
