Grouping Function,Evaluation Function,Starting Distance,Convergence Speed (rounds),Convergence Accuracy (final distance),Pearson Correlation
epsilon_greedy,dot_product,9.68730734820239,10.147058823529411,5.329195482626659,0.7808750052610758
epsilon_greedy,l1_norm,9.472589910445766,11.9,3.755501633083312,0.7238994137339128
epsilon_greedy,l2_norm,9.730877800652653,11.631578947368421,3.5880912435049117,0.7989752756239947
interleaved,dot_product,9.646014843679124,9.466666666666667,6.034823206733888,0.6328601596355803
interleaved,l1_norm,9.2833816630339,14.214285714285714,3.349610836574767,0.7230374903286968
interleaved,l2_norm,9.222518531796121,15.840909090909092,3.183604817250364,0.777812040486015
random,dot_product,9.423325428012639,9.38888888888889,5.6315802621827125,0.7536612107834408
random,l1_norm,9.530461286605124,11.902439024390244,3.438322771241817,0.7582875390149633
random,l2_norm,9.106243585286297,21.767441860465116,3.4883439989679186,0.8160521842588733
