Grouping Function,Evaluation Function,Starting Distance,Convergence Speed (rounds),Convergence Accuracy (final distance),Pearson Correlation
epsilon_greedy,dot_product,9.55714655414964,7.863636363636363,6.845927221668043,0.9306657884678856
epsilon_greedy,l1_norm,9.611506106086948,9.447368421052632,4.140094222445631,0.8794020594933274
epsilon_greedy,l2_norm,9.856151538336759,10.255813953488373,3.4899673854307736,0.9090050548405074
interleaved,dot_product,9.664046687430021,7.473684210526316,7.288805146993242,0.839240500187787
interleaved,l1_norm,9.645876392213937,9.93939393939394,4.430185369414187,0.7876879164115337
interleaved,l2_norm,9.765701826187417,9.722222222222221,3.901117795468341,0.8025185805370618
random,dot_product,9.542135229884854,7.583333333333333,6.649013331071908,0.9529310006633303
random,l1_norm,9.860240666801309,9.4375,4.253407362096638,0.8721564824592654
random,l2_norm,9.589791968912792,9.375,3.3947903865247713,0.893442545789034
