Grouping Function,Evaluation Function,Run,Starting Distance,Convergence Speed (rounds),Convergence Accuracy (final distance),Pearson Correlation,Final Points,Shapley Values,Inverted Pearson
random,l2_norm,0,8.73966305036769,6.0,1.7913848181056773,0.9004472407901973,[112.  97. 118.  94.  79.  79. 111. 148.  96.  93.],"[ 1.75109547  1.01330488  1.77792711  0.4824254   0.00699073 -0.00749829
  1.44102838  2.22191314  1.09738248  1.33561707]",1.110559236232918
random,l2_norm,1,10.507592250998727,9.0,1.819574052343084,0.84524242852324,[130. 107. 112.  83. 106. 154. 129. 166. 117. 124.],"[ 1.54439544  1.27418565  0.76773341 -0.4110039   0.22510276  1.92834284
  1.85574535  1.9977464   1.58288932  1.58750941]",1.18309252618464
random,l2_norm,2,12.552114785732316,,9.059111027412538,0.943465111538586,[119. 114. 158. 170. 146. 123. 129. 112. 110. 161.],"[-0.13059591 -0.53261324  0.39734244  0.57094121  0.35366762 -0.0653477
  0.06716816 -0.14245197 -0.22470876  0.58506381]",1.0599226063263938
random,l2_norm,3,7.434816168473036,6.0,4.006994886087531,0.7436283611078113,[57. 48. 52. 64. 60. 62. 81. 77. 43. 64.],"[1.03778363 0.27495105 0.28955944 0.48398164 0.21375373 0.92638525
 1.506674   1.25839572 0.5294666  1.27794575]",1.3447577476876518
random,l2_norm,4,9.995587951519457,10.0,2.8885974073991627,0.8862308342183989,[122.  99. 105.  93.  78.  79.  89. 153. 105. 101.],"[ 1.93883173  1.11999452  1.57536018  0.70015605 -0.11837827  0.16126558
  1.21064695  2.2512538   1.27634794  1.42029989]",1.128374190322478
random,l2_norm,5,10.21751689047227,13.0,4.002820570584948,0.8335111998835857,[124. 147.  92.  86.  84. 130. 123. 110. 123. 124.],"[ 1.58465028  1.74588899  0.8341914   0.37874011 -0.15666631  0.84196874
  1.62715316  1.24821908  1.28705572  1.51571337]",1.1997439268238597
random,l2_norm,6,8.582306882044469,6.0,2.082175219699843,0.6149980805308842,[ 82. 100.  98.  72.  93.  58.  79.  64.  85.  82.],"[ 1.41001791  1.3689839   1.41799955  0.31481916  0.87953476 -0.0293786
  1.42642617  1.22430507  1.19301397  1.32540947]",1.6260213351182673
random,l2_norm,7,10.910779624348665,36.0,4.665962781458809,0.96512063379652,[117.  84.  98. 126. 160.  98.  98. 104.  91. 104.],"[ 0.86678486 -0.04864518  0.60543664  0.95727148  2.2868564   0.46639212
  0.700261    0.72393816  0.42785172  0.70809775]",1.0361399031189231
random,l2_norm,8,9.518643114750992,11.0,4.1139513463323505,0.8231978447383056,[101.  72.  88. 107.  89. 100. 127. 125.  79. 105.],"[1.03778363 0.27495105 0.28955944 0.48398164 0.21375373 0.92638525
 1.506674   1.25839572 0.5294666  1.27794575]",1.2147748033984465
random,l2_norm,9,10.336762725033589,10.0,1.9317637613463636,0.8076307582390924,[104.  98. 115.  88.  91.  80. 105. 145. 100.  87.],"[ 1.75109547  1.01330488  1.77792711  0.4824254   0.00699073 -0.00749829
  1.44102838  2.22191314  1.09738248  1.33561707]",1.2381895932001619
random,l2_norm,10,12.157519744942206,,5.406435855119773,0.939758756239663,[133.  96.  88.  85.  88. 139. 109. 109. 142. 137.],"[ 1.68923263  0.88738372  0.22997252 -0.12960458  0.11225477  2.02029103
  1.3802349   1.35531958  1.8592656   1.67442323]",1.0641028810429876
random,l2_norm,11,9.596059486017559,8.0,1.8681894349501702,0.8535504433372516,[127. 111. 124.  81.  96. 147. 124. 160. 120. 116.],"[ 1.54439544  1.27418565  0.76773341 -0.4110039   0.22510276  1.92834284
  1.85574535  1.9977464   1.58288932  1.58750941]",1.171576920621297
random,l2_norm,12,11.347035733519578,,5.3314795240221855,0.9604489211859037,[109.  76.  74.  67.  71. 128.  98. 104. 123. 113.],"[ 1.68923263  0.88738372  0.22997252 -0.12960458  0.11225477  2.02029103
  1.3802349   1.35531958  1.8592656   1.67442323]",1.041179783684135
random,l2_norm,13,7.634484852009446,7.0,4.077964236148349,0.7607033678236821,[111. 132.  88.  76.  79. 118. 112.  96.  99. 100.],"[ 1.58465028  1.74588899  0.8341914   0.37874011 -0.15666631  0.84196874
  1.62715316  1.24821908  1.28705572  1.51571337]",1.3145728575659241
