Grouping Function,Evaluation Function,Starting Distance,Convergence Speed (rounds),Convergence Accuracy (final distance),Pearson Correlation,Inverted Pearson
epsilon_greedy,dot_product,9.458251067838011,9.266666666666667,4.910343270268335,0.28241528525051574,4.3886461711368385
epsilon_greedy,l1_norm,10.019499370321466,17.78125,4.579920147651695,0.23401742447099116,5.931001201070426
epsilon_greedy,l2_norm,9.839197469530534,12.8,4.3694749708043785,0.2671024449727768,4.265180130178203
interleaved,dot_product,9.454005478380965,13.575757575757576,4.786776834369057,0.4595206728059005,2.2704460959458306
interleaved,l1_norm,9.831649066602257,12.72,4.972198613182416,0.3846373872750707,2.982275831316272
interleaved,l2_norm,9.744096338919071,15.413793103448276,4.662766743750913,0.4255110562168701,2.73355558223755
random,dot_product,9.977473946841018,13.3125,5.161104812699349,0.42131816266250754,2.449021403913179
random,l1_norm,10.010766461657948,15.692307692307692,5.05710846113733,0.40118674568573354,2.7759846487944357
random,l2_norm,9.82654363716308,11.733333333333333,4.824840487355095,0.4089517372602319,2.6791507431479396
