Grouping Function,Evaluation Function,Starting Distance,Convergence Speed (rounds),Convergence Accuracy (final distance),Pearson Correlation
epsilon_greedy,dot_product,9.884005402920163,15.566666666666666,4.988335571412294,0.28822607433252767
epsilon_greedy,l1_norm,9.536518603946204,20.07894736842105,4.517516126085726,0.23470753147012627
epsilon_greedy,l2_norm,9.221430698268946,12.470588235294118,4.350269680324658,0.2621051819618664
interleaved,dot_product,9.508793670267979,13.448275862068966,5.166425850355492,0.5339547535225608
interleaved,l1_norm,9.489641658830584,15.241379310344827,5.017028656338002,0.503402244014863
interleaved,l2_norm,9.934743228730893,14.178571428571429,4.939947646768632,0.5294713173336338
random,dot_product,9.763500266776427,21.833333333333332,5.3427494463789245,0.5021612118930097
random,l1_norm,9.39308957119129,13.74074074074074,5.016370003138635,0.4407249889596992
random,l2_norm,9.991250757907622,15.636363636363637,5.2817432488057925,0.5362009435251438
