Grouping Function,Evaluation Function,Starting Distance,Convergence Speed (rounds),Convergence Accuracy (final distance),Pearson Correlation,Inverted Pearson
epsilon_greedy,dot_product,9.757296988670015,13.464285714285714,5.33071692041273,0.3695876636230429,2.907138263280226
epsilon_greedy,l1_norm,9.811556792404165,15.303030303030303,4.537156098953778,0.34870043834088466,3.7885380081270275
epsilon_greedy,l2_norm,9.387965729756175,12.771428571428572,4.12242919819681,0.34871557647464124,3.382958871226301
interleaved,dot_product,10.063534228756334,15.185185185185185,5.237919776833549,0.5541134369926813,1.8240529989025454
interleaved,l1_norm,9.900522980155227,14.074074074074074,5.124377389388715,0.48849731653710904,0.4967463201356519
interleaved,l2_norm,9.61423634839618,10.838709677419354,4.620924139934689,0.5424373831419051,1.9436089227201419
random,dot_product,9.464862080665306,11.518518518518519,5.286501625542876,0.5388704476910368,1.8919018896787105
random,l1_norm,9.759639909719873,13.689655172413794,4.709541989732051,0.46819142637021005,2.3026868815242825
random,l2_norm,9.78596297881381,12.93939393939394,4.485534698690781,0.5059185981885913,2.1711510951285113
