song_name,song_artist,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,popularity,average
Daydream,Lily Meola,42.300000000000004,94.10000000000001,84.80000000000001,50.0,19.799999999999997,27.6,98.61999999999999,94,63.90250000000001
Shape of You,Ed Sheeran,43.7,50.30000000000001,96.2,50.0,18.909999999999993,24.019999999999996,15.499999999999991,77,46.95375
Don't Start Now,Dua Lipa,99.42999999999999,53.49999999999999,82.1,50.0,19.109999999999992,24.3,40.69999999999999,82,56.3925
Blinding Lights,The Weeknd,98.346,81.4,88.4,50.009539999999994,18.569999999999997,21.98,75.2,74,63.488192500000004
Happier,Marshmello,82.69999999999999,64.1,82.19999999999999,50.0,26.3,20.520000000000003,41.49999999999999,82,56.165
