Grouping Function,Evaluation Function,Starting Distance,Convergence Speed (rounds),Convergence Accuracy (final distance),Pearson Correlation,Inverted Pearson
epsilon_greedy,dot_product,9.320386215582356,9.9375,5.655968119757805,0.7344077908625134,1.3783225970994568
epsilon_greedy,l1_norm,9.450985546426963,13.025,3.7178761136530873,0.7392040709127364,1.3744108934289152
epsilon_greedy,l2_norm,9.39047694210479,10.324324324324325,3.7190808587596775,0.7643190219172298,1.072318564158563
interleaved,dot_product,9.72146170643994,9.0,5.813894064885646,0.6830169572932622,1.4869469447050516
interleaved,l1_norm,9.397758951267587,17.641025641025642,4.1066846784333135,0.7413952531019224,1.3704090317055742
interleaved,l2_norm,9.779318295600211,16.21875,4.330152581635229,0.7908479642549798,1.2755784744993077
random,dot_product,9.289084696352566,9.696969696969697,6.061733811490002,0.742696365592826,1.3607686005621977
random,l1_norm,9.476523624309593,12.390243902439025,3.8322278964272702,0.773363494628352,1.3071418859681507
random,l2_norm,9.294079091791309,13.666666666666666,3.6126359090629143,0.8328158268875377,1.2093092079273948
