Type/K-Fraction,0-0.25,0.25-0.5,0.5-0.75,0.75-1.0
0,100.0,0.0,0.0,0.0
25,100.0,100.0,0.0,0.0
50,100.0,0.0,0.0,100.0
75,100.0,100.0,0.0,100.0
output-pe,100.0,100.0,100.0,0.0
