Grouping Function,Evaluation Function,Run,Starting Distance,Convergence Speed (rounds),Convergence Accuracy (final distance),Pearson Correlation,Final Points,Shapley Values
random,l2_norm,0,7.38401540183078,5.0,2.5766712877900178,0.8132253821029726,"[ 4.96485325 -0.48164576  2.47314891 -3.79147652  3.90865212  0.49847561
  0.02689552  3.82157868  1.05344367 -2.12197284 -2.92868002  0.76837116
  2.91132028  2.39039592 -1.07043915  0.75292396 -0.98213278 -1.04986297
 -1.04218143  0.88243267]","[ 0.96427971  0.81444098  0.68522966 -0.20237332  0.99277571  0.12212204
  0.82636596  0.91507656  0.67753936  0.30621681 -0.04956362  0.61825039
  0.85432909  0.76398801  0.08963863  0.52390377 -0.06200178  0.46250482
  0.50902937  0.83950909]"
random,l2_norm,1,10.675895531311285,,6.623366551803773,0.9055275659597428,"[-1.33724543 -3.10295259 -2.25488234 -0.17396835 -1.37724825 -3.04574867
 -3.12293264 -0.71625532 -3.99780283 -4.45767703 -1.16141789  4.36634784
 -2.305525   -1.75158581  4.47036042 -4.06487479 -1.50536986  0.1510901
 -2.11630633 -1.08559785]","[ 0.1151105  -0.02937402  0.1805601   0.39023281  0.16674486  0.07278729
 -0.08139302  0.3502558  -0.1113891  -0.00331148  0.44136529  0.66252945
  0.23233887  0.24933958  0.65809952 -0.00241903  0.35202473  0.4817843
  0.17098431  0.36660429]"
random,l2_norm,2,8.689549916944054,7.0,1.7141149004162095,0.8435184401710493,"[-6.29901982e-01 -3.17690993e-01 -2.65880163e+00 -2.86585035e+00
  2.41035239e+00  3.20697052e+00 -1.82335826e+00 -1.17330177e+00
 -6.21412825e-01  8.24691998e-03  1.03771925e+00 -2.38267482e-01
  5.35747342e+00 -1.11357689e+00  1.81863593e-01  8.46570170e+00
 -7.86303794e-01  3.08566935e+00  1.19920954e+00  1.56172821e-01]","[ 0.5699198   0.53335584  0.2311309  -0.05653409  0.61377442  0.95960812
  0.15975296  0.4897823   0.59890202  0.58851737  0.58889145  0.02714275
  0.95977903  0.65532345  0.19165479  1.40739667  0.13557538  0.79941937
  0.77204527  0.66983211]"
random,l2_norm,3,6.408935972983597,6.0,3.818287659028725,0.8425248410937418,"[ 0.37285286 -0.29898356 -1.79103756  1.0480256  -0.189963    1.5123038
 -1.20780171 -0.50770152 -0.02710979 -0.52155396  0.47503233 -0.25074403
  0.72307543  1.19897634  0.68285896  2.59841699  3.09894061  1.20540346
 -0.13943129 -0.02720377]","[ 0.08612594  0.28890228  0.06999483  0.78217833  0.25209857  0.62796844
 -0.06322027  0.22905634  0.46074484  0.35279191  0.46354617  0.38891981
  0.53851882  0.57773838  0.66430172  0.60908165  0.9927983   0.7796324
  0.35520963  0.46600596]"
random,l2_norm,4,10.674275064426059,,6.651770990945194,0.8901297388138196,"[-1.55668246 -1.87782002 -1.56649545 -0.69380731 -1.51084561 -2.55581458
 -3.18262791 -1.36028359 -4.71098362 -4.00201212 -0.3387674   5.06576808
 -1.60681238 -2.86692232  4.759523   -4.18907854 -2.43513499  1.15234614
 -2.17586976 -2.75952358]","[ 0.09550721 -0.03932106  0.1919529   0.40994351  0.23795647  0.10406905
 -0.04548367  0.34037249 -0.12496373 -0.00605583  0.42636337  0.68023273
  0.21338929  0.16871561  0.69521285  0.0034352   0.27760252  0.51566671
  0.18823672  0.33004271]"
random,l2_norm,5,7.656819398568849,5.0,1.8018905010959947,0.8170460866595486,"[ 4.95501387  1.76382898  0.59779248 -0.27170633  2.651449    3.00388646
  0.91510742  2.54547784  5.50641312  1.88254454  1.33483575  3.7579936
  3.85488102  1.37787041  2.15920116  0.61236821  3.50795054  1.07844195
  2.31602965  0.9610075 ]","[ 0.78757069  0.55116424  0.37130671 -0.21061485  0.68610438  0.7063297
  0.20646756  0.62027433  0.97872592  0.46260316  0.35245313  0.52787925
  0.75573477  0.63738036  0.63762054  0.21788383  0.73392407  0.06338609
  0.65504488  0.59773999]"
random,l2_norm,6,8.696377968741789,10.0,2.473414974919797,0.8426851172284371,"[ -0.66356494  -4.23567121  -4.799078    -5.04196477  -3.82999118
   2.2037329  -11.43349678  -2.13781167  -2.4605101   -2.52202366
   2.02989944  -5.27145355  -1.28044771  -3.10625258   8.04571358
  -7.18117429  -6.0412159    1.02314895   0.02607374  -3.52243352]","[ 0.68825735  0.68613289  0.43696567 -0.0990604   0.59757209  1.01891443
 -0.08741569  0.66911584  0.58479706  0.77321913  0.755331   -0.07030978
  0.85270906  0.48743067  1.17917838  0.00622424  0.28893793  0.87322174
  0.9098819   0.77153205]"
random,l2_norm,7,8.684187367211216,10.0,2.2280326755780204,0.9006078186754978,"[ 4.9750025   6.43977407  3.70994528 -1.68701605 -1.72988998  1.1804433
 -5.87575015  3.09722168 -4.06090261 -2.75266713 -7.76572447 -4.34481653
 -2.31688371 -1.88937912 -3.63606746 -1.56552337 -2.25810775 -2.66053024
  0.80008651 -0.82860042]","[ 1.20453726  1.51701025  1.08634899  0.34521359  0.97965528  1.00314265
 -0.04508197  1.3028555   0.5031994   0.5132333  -0.48097537  0.3132817
  0.75816009  0.77848649  0.03165448  0.66136437  0.1603781   0.7073219
  0.85789874  0.6822919 ]"
random,l2_norm,8,7.70231356590955,6.0,4.113515859045171,0.6959449428690851,"[3.95358417 3.53487606 3.48994592 3.20170477 4.43349132 4.18504635
 2.92497805 3.40045812 3.44006495 3.42904335 3.64004341 2.67444875
 3.07919343 3.24245589 3.36843503 3.21162537 3.49615706 3.30458423
 2.82013063 3.52605334]","[ 0.60041691  0.60467789  0.54775561  0.09730336  0.88251194  0.74780004
  0.16586387  0.58991914  0.86209874  0.45676284  0.42120259 -0.06661451
  0.49163701  0.50676279  0.1896101   0.56182073  0.26674053  0.5643275
  0.36887451  0.66402582]"
random,l2_norm,9,8.12844622960611,9.0,3.0330268745067657,0.8891388063379545,"[-1.44699157 -1.67506934 -2.50510462 -0.92531288  0.01776743  0.89471877
  4.77990161 -0.777442    1.19030825 -0.56099161 -0.39313892  0.73682216
 -0.06207668  5.56093693 -2.25171258  2.63249358 -1.79506075  2.16024627
  3.39371185  1.93986044]","[ 1.24595046e-01  1.72360870e-01  2.36338538e-01 -9.60311639e-02
  4.24006732e-01  5.86646489e-01  8.00470051e-01  1.93715264e-01
  6.47591996e-01  1.17307118e-01  3.12867486e-01  2.31414980e-01
  3.61981948e-01  8.26513395e-01  3.54958956e-04  7.20254024e-01
  3.87704224e-02  7.51618736e-01  7.46966701e-01  6.66602992e-01]"
