Grouping Function,Evaluation Function,Starting Distance,Convergence Speed (rounds),Convergence Accuracy (final distance),Pearson Correlation,Inverted Pearson
epsilon_greedy,dot_product,9.650722369012373,12.67741935483871,5.273313753951197,0.358148754480446,3.0148101401411975
epsilon_greedy,l1_norm,9.597540379537872,22.756756756756758,4.3287915899692315,0.34790771741145754,3.273902367060174
epsilon_greedy,l2_norm,9.80980484845524,15.921052631578947,3.889776914149075,0.3575429804496552,3.087068257795986
interleaved,dot_product,9.552991933375223,12.407407407407407,5.144371644897097,0.47178462879986727,2.2569427786628116
interleaved,l1_norm,9.415885841285363,11.705882352941176,4.464589616256942,0.4131005079709385,2.6087732828308456
interleaved,l2_norm,9.568311926330324,11.657894736842104,4.120924482034423,0.45141768834532386,2.3585359780656847
random,dot_product,9.555913039303912,11.5,5.208213036369554,0.47718495899336655,2.145194344286896
random,l1_norm,9.825585179903502,12.0,4.256058912495402,0.43344635843040563,2.671712687279182
random,l2_norm,9.38381515353246,12.206896551724139,4.520767734608111,0.4912867865532284,2.1682514741527132
