Grouping Function,Evaluation Function,Starting Distance,Convergence Speed (rounds),Convergence Accuracy (final distance),Pearson Correlation,Incorrect Candidate Selection (%)
interleaved,cosine_similarity,10.344668427671477,20.894736842105264,4.222015885683109,0.8412691132022381,8.76
interleaved,dot_product,10.59036520483982,26.933333333333334,5.709510948257731,0.8040430101691058,6.66
interleaved,l2_norm,10.344747261333836,23.555555555555557,4.025542375847121,0.8678663904740289,9.08
random,cosine_similarity,10.64053873915506,26.622222222222224,4.11585091872467,0.8482193142265464,8.66
random,dot_product,10.295411918107352,19.2,5.299866803069907,0.806498838221383,6.88
random,l2_norm,10.615813485194442,18.42222222222222,3.8243233220998043,0.872732029617386,8.64
simulated_annealing,cosine_similarity,10.50836003611397,30.11904761904762,4.268031755438861,0.7923196227161869,5.88
simulated_annealing,dot_product,10.621123901953416,23.964285714285715,5.628250198830748,0.678600411879829,7.66
simulated_annealing,l2_norm,10.210061835520689,20.857142857142858,4.044987894190869,0.7857302989091842,6.28
